Satellite,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Minute,Second
GPS BIIR-2  (PRN 13),23.110680984277206,-55.77827774411533,19983.16375593356,2024,8,13,15,40,0
GPS BIIR-4  (PRN 20),48.171949709048256,-23.20561025478296,20206.982820165336,2024,8,13,15,40,0
GPS BIIR-5  (PRN 22),-34.944434582539195,15.129606726270643,19835.093752592602,2024,8,13,15,40,0
GPS BIIR-8  (PRN 16),54.83421833924646,142.27829559938593,19939.499655923326,2024,8,13,15,40,0
GPS BIIR-9  (PRN 21),-39.594913574361385,118.70801852586122,19558.906957508796,2024,8,13,15,40,0
GPS BIIR-11 (PRN 19),-51.069407570469714,-16.366774632368678,20241.848815616693,2024,8,13,15,40,0
GPS BIIR-13 (PRN 02),-47.957498788889026,104.58768481070587,19767.75223123445,2024,8,13,15,40,0
GPS BIIRM-1 (PRN 17),-55.435490246819796,16.728270834513346,19848.219893705766,2024,8,13,15,40,0
GPS BIIRM-2 (PRN 31),4.472878651871144,157.2653330141734,20376.789727876167,2024,8,13,15,40,0
GPS BIIRM-3 (PRN 12),-39.49473488072194,-101.8244107843524,20382.67791719977,2024,8,13,15,40,0
GPS BIIRM-4 (PRN 15),8.198593049762515,-83.6052983560337,20008.536482496518,2024,8,13,15,40,0
GPS BIIRM-5 (PRN 29),31.427528567768476,-101.17036551197343,20108.211233363214,2024,8,13,15,40,0
GPS BIIRM-6 (PRN 07),48.79403405807827,33.74163041601441,20685.044596064086,2024,8,13,15,40,0
GPS BIIRM-8 (PRN 05),55.43895534561427,-62.27881907358615,20040.68212466877,2024,8,13,15,40,0
GPS BIIF-1  (PRN 25),-19.730267414400654,-127.02716658364346,20428.124548282998,2024,8,13,15,40,0
GPS BIIF-3  (PRN 24),-44.453369189410914,-72.84755715323882,20380.39232625213,2024,8,13,15,40,0
GPS BIIF-4  (PRN 27),31.65370643526985,124.16678117929067,19856.719133218354,2024,8,13,15,40,0
GPS BIIF-5  (PRN 30),31.00589173189606,5.405624221165611,20377.925878416398,2024,8,13,15,40,0
GPS BIIF-6  (PRN 06),-15.108271471582809,-9.742170845535416,20222.8761398341,2024,8,13,15,40,0
GPS BIIF-7  (PRN 09),37.18528947569754,65.69150853703333,20114.884421088027,2024,8,13,15,40,0
GPS BIIF-8  (PRN 03),-34.912256853112204,66.95377106851652,20329.957429084185,2024,8,13,15,40,0
GPS BIIF-9  (PRN 26),37.68403385448108,179.37340619751473,20226.242478960292,2024,8,13,15,40,0
GPS BIIF-10 (PRN 08),9.90345697748897,104.28318059360512,19932.24229002815,2024,8,13,15,40,0
GPS BIIF-11 (PRN 10),-25.551641772015696,-159.1726008018795,20250.50544821941,2024,8,13,15,40,0
GPS BIIF-12 (PRN 32),-55.20833604818041,-171.34153529232134,20020.66395840453,2024,8,13,15,40,0
GPS BIII-1  (PRN 04),15.502470926935304,90.16345547400738,20115.205156413584,2024,8,13,15,40,0
GPS BIII-2  (PRN 18),48.7335671750605,-149.22550842935192,20254.92582317762,2024,8,13,15,40,0
GPS BIII-3  (PRN 23),0.5252862750922043,-142.03944859253068,20300.270012760666,2024,8,13,15,40,0
GPS BIII-4  (PRN 14),-17.89599155218343,27.04031282840511,20284.18864178064,2024,8,13,15,40,0
GPS BIII-5  (PRN 11),15.692548219197686,-29.314550966372646,20158.65536349971,2024,8,13,15,40,0
GPS BIII-6  (PRN 28),-20.297329218543812,172.27555036182298,20190.00617011502,2024,8,13,15,40,0
